0,Al,Al,,100,,
2,TPBi,TPBi,,10,,
3,mCBP,mCBP,,20,,
4,mCBP,mCBP,,20,,
5,TCTA_B3PYMPM,TCTA_B3PYMPM,,20,,
6,TCTA,TCTA,,20,,
7,NPB,NPB,,30,,
8,NPB,NPB,,20,,
9,TAPC,TAPC,,50,,
10,ITO_Geomatec,ITO_Geomatec,,70,,
11,glass_Eagle2000,glass_Eagle2000,,0,,
